index,Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,1,China,Anuel AA,798322,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-08-01,2ksOAxtIxY8yElEWw8RhgK,0.0846,0.786,301714,0.808,0.000289,7,0.0822,-3.702,1,0.0882,105.027,4,0.609
1,2,Callaita,Bad Bunny,678038,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-08-01,2TH65lNHgvLxCKXM3apjxI,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
2,3,LA CANCIÓN,J Balvin,596805,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-08-01,0fea68AdmYNygeTGI4RC18,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
3,4,11 PM,Maluma,521059,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-08-01,7KbF6AdprOXEEHlsq11Z6d,0.217,0.777,175733,0.712,0.0,10,0.091,-4.84,1,0.277,95.692,4,0.68
4,5,Otro Trago,Sech,458509,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-08-01,1Ej96GIBCTvgH7tNX1r3qr,0.136,0.747,225933,0.7,0.000167,0,0.11,-4.669,1,0.341,176.036,4,0.62
5,6,Soltera - Remix,Lunay,457582,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,2019-08-01,1c0hsvHLELX6y8qymnpLKL,0.361,0.795,266087,0.783,0.0,5,0.437,-4.271,1,0.0432,92.016,4,0.8
6,7,No Me Conoce - Remix,Jhay Cortez,448450,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-08-01,4R8BJggjosTswLxtkw8V7P,0.145,0.806,309120,0.786,0.0,10,0.0935,-3.831,0,0.0741,91.973,4,0.58
7,8,Otro Trago - Remix,Sech,443936,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-08-01,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773,0.79,1.14e-06,0,0.0602,-2.331,1,0.197,175.988,4,0.763
8,9,Señorita,Shawn Mendes,438091,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-01,6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,190800,0.548,0.0,9,0.0828,-6.049,0,0.029,116.967,4,0.749
9,10,Con Altura,ROSALÍA,388738,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-08-01,2qG5sZ7Si6sdK74qLxedYM,0.39,0.882,161627,0.689,0.00325,6,0.0501,-4.027,1,0.124,97.963,4,0.746
10,11,QUE PRETENDES,J Balvin,375768,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-08-01,25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,222347,0.791,0.0,10,0.362,-4.443,0,0.253,92.603,4,0.939
11,12,Tal Vez,Paulo Londra,321903,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-08-01,5jW3rF4URMdK7tO2xjS5EI,0.25,0.855,263899,0.649,0.0,8,0.0801,-2.443,1,0.151,161.986,4,0.741
12,13,Baila Conmigo (feat. Kelly Ruiz),Dayvi,307190,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,2019-08-01,4Clmg1g8n2yBYG13Z1oSdG,0.00903,0.745,189818,0.972,0.465,7,0.297,-3.506,1,0.0774,128.031,4,0.556
13,14,HP,Maluma,279481,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-08-01,1LIqNVhaIgxXUt2eVoIQJ3,0.252,0.837,184436,0.791,1.14e-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618
